goos: linux
goarch: amd64
pkg: github.com/ponchione/shunter/subscription
cpu: AMD Ryzen 9 9900X 12-Core Processor
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     253	   4696796 ns/op	   52003 B/op	      95 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     253	   4697131 ns/op	   52003 B/op	      95 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     253	   4705768 ns/op	   52003 B/op	      95 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     255	   4694741 ns/op	   52001 B/op	      95 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/chain4/sum-24                         	     254	   4675054 ns/op	   51998 B/op	      95 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_star-24          	    1711	    706442 ns/op	   12933 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_star-24          	    1693	    707345 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_star-24          	    1694	    710013 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_star-24          	    1693	    706069 ns/op	   12933 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_star-24          	    1686	    707491 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_star-24          	    1693	    711097 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_star-24          	    1677	    706363 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_star-24          	    1700	    713285 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_star-24          	    1674	    709987 ns/op	   12935 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_star-24          	    1664	    712763 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_column-24        	     639	   1873680 ns/op	   12935 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_column-24        	     643	   1877686 ns/op	   12934 B/op	      73 allocs/op
BenchmarkMultiWayLiveJoinAggregateFunctions/cross3_rows_32/count_column-24        	     643	   1867127 ns/op	   12934 B/op	      73 allocs/op
